epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,23808.3,1.13313,0.88371,1.14897,0.70897,0.66364,0.71943,0.43266,1.42905,1.16716,1.40348,0.0015908,0.0015908,0.0015908
64,24175.4,1.10492,0.83757,1.15306,0.75556,0.66061,0.74197,0.44529,1.43609,1.16122,1.43803,0.0015842,0.0015842,0.0015842
65,24550.3,1.12695,0.86187,1.16972,0.75789,0.65452,0.71918,0.42215,1.44282,1.16336,1.4172,0.0015776,0.0015776,0.0015776
66,24941.9,1.09011,0.854,1.15008,0.82846,0.62931,0.75331,0.46783,1.34942,1.15289,1.36202,0.001571,0.001571,0.001571
67,25264.9,1.08524,0.82181,1.13862,0.76837,0.68356,0.72913,0.43659,1.43036,1.13445,1.39118,0.0015644,0.0015644,0.0015644
68,25562,1.09822,0.82436,1.13692,0.84007,0.63939,0.75464,0.4519,1.42956,1.11425,1.41542,0.0015578,0.0015578,0.0015578
69,25847.3,1.11007,0.88507,1.16429,0.85438,0.59394,0.72048,0.43311,1.45792,1.25246,1.39455,0.0015512,0.0015512,0.0015512
70,26140.3,1.08549,0.82825,1.15621,0.82759,0.64848,0.73927,0.4499,1.41751,1.116,1.40632,0.0015446,0.0015446,0.0015446
71,26462.7,1.10018,0.82017,1.1444,0.77166,0.62469,0.73329,0.43936,1.45482,1.13848,1.43996,0.001538,0.001538,0.001538
72,26798.8,1.13558,0.85498,1.16524,0.75086,0.71515,0.76639,0.45103,1.44605,1.12296,1.38764,0.0015314,0.0015314,0.0015314
73,27107.5,1.05721,0.77818,1.12759,0.75275,0.67273,0.73569,0.44879,1.38646,1.18083,1.37993,0.0015248,0.0015248,0.0015248
74,27408,1.06157,0.80804,1.1151,0.81687,0.64879,0.758,0.45291,1.4031,1.10292,1.39756,0.0015182,0.0015182,0.0015182
75,27713.1,1.12288,0.8285,1.15197,0.84478,0.58182,0.71732,0.43592,1.40844,1.22292,1.36833,0.0015116,0.0015116,0.0015116
76,28057.6,1.06435,0.79076,1.12649,0.82412,0.65455,0.73596,0.44816,1.39861,1.16411,1.39989,0.001505,0.001505,0.001505
77,28337.5,1.11052,0.81287,1.18312,0.80307,0.60553,0.71524,0.43407,1.48269,1.24974,1.41078,0.0014984,0.0014984,0.0014984
78,28622.7,1.08511,0.80318,1.14126,0.77205,0.66667,0.73162,0.44722,1.42766,1.17326,1.42994,0.0014918,0.0014918,0.0014918
